epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.8575,1.55814,3.68563,1.55952,0.45713,0.32654,0.33921,0.17149,1.17114,1.31752,1.20282,0.000207055,0.000207055,0.000207055
2,58.7618,1.45573,2.42218,1.47249,0.47846,0.50861,0.45567,0.21696,1.13033,1.18214,1.23017,0.000407164,0.000407164,0.000407164
3,85.8468,1.46882,2.11267,1.46534,0.55278,0.55684,0.60977,0.29632,1.15791,0.9871,1.20696,0.000599022,0.000599022,0.000599022
4,111.986,1.44875,1.83527,1.4594,0.58135,0.47324,0.54092,0.2549,1.15165,1.13477,1.26449,0.000587875,0.000587875,0.000587875
5,138.959,1.42294,1.64143,1.42511,0.49585,0.52611,0.53115,0.26449,1.1449,1.01678,1.23553,0.0005755,0.0005755,0.0005755
6,166.469,1.38026,1.44886,1.39,0.71956,0.70887,0.74024,0.40143,1.07467,0.80944,1.16546,0.000563125,0.000563125,0.000563125
7,193.647,1.39024,1.38736,1.40062,0.75235,0.77447,0.79866,0.43188,1.04609,0.77029,1.14927,0.00055075,0.00055075,0.00055075
8,221.31,1.36182,1.34664,1.40639,0.84176,0.65659,0.80112,0.42346,1.07719,0.76558,1.17333,0.000538375,0.000538375,0.000538375
9,249.89,1.32179,1.25729,1.3766,0.79657,0.70202,0.81921,0.43622,1.0266,0.72974,1.15331,0.000526,0.000526,0.000526
10,280.075,1.32297,1.21941,1.36034,0.71654,0.71331,0.75329,0.4021,1.03324,0.745,1.16986,0.000513625,0.000513625,0.000513625
11,309.264,1.30565,1.17176,1.35533,0.76923,0.79066,0.85539,0.48523,1.03232,0.66563,1.13939,0.00050125,0.00050125,0.00050125
12,339.406,1.29763,1.12836,1.34518,0.81114,0.78348,0.83885,0.46449,1.00084,0.64846,1.12505,0.000488875,0.000488875,0.000488875
13,369.066,1.29552,1.11288,1.36029,0.78677,0.75533,0.81523,0.44963,0.99323,0.66721,1.14103,0.0004765,0.0004765,0.0004765
14,396.9,1.25947,1.04745,1.32291,0.83039,0.79072,0.86783,0.49814,1.01375,0.64431,1.12253,0.000464125,0.000464125,0.000464125
15,424.653,1.2699,1.03163,1.33397,0.79991,0.78268,0.85852,0.48104,1.00388,0.62616,1.13835,0.00045175,0.00045175,0.00045175
16,452.536,1.25285,1.02083,1.31484,0.81541,0.79326,0.86656,0.47475,0.97673,0.65062,1.12455,0.000439375,0.000439375,0.000439375
17,480.288,1.23853,0.99771,1.30435,0.83284,0.83534,0.89364,0.50807,1.00998,0.59859,1.11479,0.000427,0.000427,0.000427
18,508.175,1.21788,0.96169,1.296,0.82884,0.79206,0.86523,0.49207,0.95846,0.5998,1.11789,0.000414625,0.000414625,0.000414625
19,535.829,1.2391,0.99637,1.30973,0.84834,0.79363,0.86828,0.48097,1.00987,0.62212,1.13081,0.00040225,0.00040225,0.00040225
20,563.518,1.23225,0.97034,1.3133,0.78321,0.85028,0.85475,0.48381,0.98641,0.61054,1.11318,0.000389875,0.000389875,0.000389875
21,591.447,1.18941,0.94857,1.27528,0.81876,0.8431,0.90101,0.49538,0.99537,0.57559,1.13854,0.0003775,0.0003775,0.0003775
22,619,1.19027,0.92857,1.28562,0.86453,0.79625,0.8699,0.49594,0.99975,0.60464,1.13422,0.000365125,0.000365125,0.000365125
23,645.891,1.18403,0.91988,1.28265,0.80528,0.87332,0.89216,0.49554,1.0009,0.57408,1.12507,0.00035275,0.00035275,0.00035275
24,673.825,1.20639,0.91188,1.28661,0.81695,0.82854,0.87467,0.50984,0.9926,0.56226,1.1118,0.000340375,0.000340375,0.000340375
25,701.556,1.19319,0.89312,1.29059,0.85468,0.79532,0.88001,0.50269,0.97144,0.58132,1.11884,0.000328,0.000328,0.000328
26,728.99,1.168,0.86375,1.26651,0.83406,0.82141,0.89248,0.5173,0.96548,0.56391,1.11659,0.000315625,0.000315625,0.000315625
27,758.166,1.15623,0.86376,1.25769,0.86391,0.81627,0.88586,0.50735,0.9727,0.54739,1.12613,0.00030325,0.00030325,0.00030325
28,787.47,1.13753,0.8409,1.252,0.87494,0.83701,0.87993,0.50686,0.95657,0.53258,1.12061,0.000290875,0.000290875,0.000290875
29,815.909,1.14718,0.83776,1.25592,0.84241,0.84956,0.88447,0.51032,0.97245,0.54321,1.11343,0.0002785,0.0002785,0.0002785
30,843.707,1.11529,0.82388,1.23806,0.83702,0.85683,0.8795,0.50687,0.94392,0.52646,1.11517,0.000266125,0.000266125,0.000266125
31,871.161,1.11771,0.8142,1.24248,0.85955,0.81293,0.87704,0.51294,0.96762,0.53934,1.11843,0.00025375,0.00025375,0.00025375
32,898.489,1.11039,0.80247,1.23039,0.84576,0.81417,0.88677,0.50564,0.96343,0.54503,1.12118,0.000241375,0.000241375,0.000241375
33,926.276,1.10341,0.78183,1.22769,0.87752,0.81945,0.9008,0.5171,0.94327,0.51509,1.10657,0.000229,0.000229,0.000229
34,953.499,1.06719,0.77935,1.21653,0.87859,0.81846,0.90686,0.51263,0.9473,0.52421,1.13247,0.000216625,0.000216625,0.000216625
35,980.436,1.08912,0.76504,1.21555,0.85543,0.81732,0.87985,0.48689,0.97149,0.53513,1.15488,0.00020425,0.00020425,0.00020425
36,1008.17,1.07006,0.75982,1.20223,0.88034,0.81376,0.88192,0.50292,0.95356,0.50974,1.13291,0.000191875,0.000191875,0.000191875
37,1034.94,1.05934,0.74746,1.20539,0.84373,0.84803,0.89093,0.502,0.96384,0.51037,1.13668,0.0001795,0.0001795,0.0001795
38,1061.74,1.05502,0.75134,1.20112,0.85022,0.76783,0.86125,0.48392,0.96088,0.54311,1.12949,0.000167125,0.000167125,0.000167125
39,1088.4,1.03621,0.72761,1.1978,0.8538,0.78634,0.87705,0.502,0.95827,0.51384,1.13819,0.00015475,0.00015475,0.00015475
40,1115.12,1.04332,0.7317,1.19327,0.81017,0.80724,0.86032,0.48959,0.96268,0.52,1.14205,0.000142375,0.000142375,0.000142375
41,1173.15,0.93483,0.56632,1.17731,0.83621,0.80992,0.8617,0.48255,0.9498,0.51652,1.13674,0.00013,0.00013,0.00013
42,1199.84,0.91343,0.51575,1.1557,0.82858,0.84679,0.87229,0.49779,0.9725,0.51327,1.14604,0.000117625,0.000117625,0.000117625
43,1226.33,0.88939,0.49721,1.14002,0.85892,0.80306,0.85893,0.50747,0.94942,0.50739,1.1507,0.00010525,0.00010525,0.00010525
44,1252.93,0.88181,0.4959,1.13315,0.83699,0.82988,0.88002,0.49525,0.9595,0.50151,1.16014,9.2875e-05,9.2875e-05,9.2875e-05
45,1279.46,0.86175,0.48323,1.12015,0.85933,0.82856,0.88665,0.49169,0.9629,0.4943,1.16043,8.05e-05,8.05e-05,8.05e-05
46,1306.11,0.83607,0.47169,1.10494,0.84727,0.81718,0.87668,0.50286,0.94295,0.49277,1.15728,6.8125e-05,6.8125e-05,6.8125e-05
47,1332.77,0.83317,0.46295,1.09962,0.82685,0.82806,0.87316,0.48885,0.96215,0.50021,1.16617,5.575e-05,5.575e-05,5.575e-05
48,1359.41,0.82374,0.45468,1.08856,0.8287,0.82371,0.87158,0.49702,0.9404,0.49335,1.16529,4.3375e-05,4.3375e-05,4.3375e-05
49,1386,0.81685,0.45066,1.08843,0.85422,0.80108,0.87566,0.50827,0.93386,0.48748,1.16264,3.1e-05,3.1e-05,3.1e-05
50,1412.63,0.79018,0.44447,1.07694,0.85109,0.79542,0.87052,0.50855,0.94104,0.48719,1.16708,1.8625e-05,1.8625e-05,1.8625e-05
