epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.7338,1.5649,3.68308,1.55773,0.37501,0.38307,0.33005,0.16667,1.14277,1.41872,1.20854,0.000207055,0.000207055,0.000207055
2,64.339,1.46549,2.44504,1.47279,0.49071,0.53018,0.53644,0.27158,1.13822,1.19167,1.22163,0.000407164,0.000407164,0.000407164
3,94.0562,1.47258,2.08778,1.46992,0.563,0.53405,0.56246,0.26158,1.18494,0.96181,1.24108,0.000599022,0.000599022,0.000599022
4,123.571,1.43806,1.81346,1.44641,0.6245,0.63633,0.67782,0.36179,1.12097,0.91317,1.18414,0.000587875,0.000587875,0.000587875
5,152.836,1.43266,1.64627,1.42693,0.57227,0.70154,0.66143,0.33703,1.0832,0.90681,1.17181,0.0005755,0.0005755,0.0005755
6,183.113,1.37516,1.44371,1.38332,0.72114,0.74639,0.79531,0.42376,1.10406,0.78921,1.15514,0.000563125,0.000563125,0.000563125
7,213.735,1.38882,1.39834,1.40759,0.77414,0.69601,0.79506,0.40987,1.04423,0.76228,1.15506,0.00055075,0.00055075,0.00055075
8,244.329,1.3707,1.33417,1.40394,0.74332,0.73965,0.79875,0.43028,1.06334,0.73461,1.15536,0.000538375,0.000538375,0.000538375
9,275.107,1.31605,1.24594,1.37221,0.68812,0.68683,0.75734,0.41633,1.02794,0.75101,1.14071,0.000526,0.000526,0.000526
10,305.771,1.32391,1.21503,1.35948,0.72001,0.74643,0.79771,0.44975,1.07058,0.73255,1.13398,0.000513625,0.000513625,0.000513625
11,336.488,1.30146,1.16866,1.35086,0.78038,0.80723,0.83747,0.45579,1.04569,0.6626,1.14555,0.00050125,0.00050125,0.00050125
12,367.149,1.29615,1.14124,1.35119,0.8347,0.77366,0.8371,0.46364,1.00051,0.65294,1.12558,0.000488875,0.000488875,0.000488875
13,397.761,1.29475,1.10655,1.35968,0.71241,0.77404,0.7982,0.44612,1.0142,0.65099,1.13428,0.0004765,0.0004765,0.0004765
14,428.532,1.27439,1.05479,1.32435,0.80985,0.81095,0.8422,0.47817,1.03606,0.64745,1.12021,0.000464125,0.000464125,0.000464125
15,459.648,1.26371,1.02267,1.32659,0.80168,0.7854,0.85664,0.46235,1.00929,0.63354,1.14838,0.00045175,0.00045175,0.00045175
16,490.243,1.25933,1.01207,1.31876,0.78253,0.83588,0.88144,0.49362,0.97745,0.59029,1.11407,0.000439375,0.000439375,0.000439375
17,521.019,1.23498,1.00061,1.30203,0.82819,0.8239,0.88177,0.48857,1.00242,0.60259,1.13286,0.000427,0.000427,0.000427
18,551.761,1.2267,0.97588,1.29888,0.7914,0.82217,0.87129,0.49344,0.98251,0.59285,1.11697,0.000414625,0.000414625,0.000414625
19,582.423,1.24169,0.9861,1.31203,0.78628,0.82551,0.83643,0.46085,0.9848,0.6074,1.11874,0.00040225,0.00040225,0.00040225
20,613.131,1.23482,0.97597,1.31121,0.82387,0.805,0.85693,0.49063,1.01906,0.62045,1.1211,0.000389875,0.000389875,0.000389875
21,643.806,1.19878,0.94433,1.27933,0.8254,0.84966,0.89766,0.50392,0.99563,0.5823,1.12665,0.0003775,0.0003775,0.0003775
22,674.502,1.19319,0.94113,1.28346,0.80466,0.81744,0.85099,0.48268,1.02517,0.63578,1.14516,0.000365125,0.000365125,0.000365125
23,705.207,1.18922,0.91523,1.2836,0.86118,0.81512,0.88845,0.5022,1.02433,0.58746,1.1323,0.00035275,0.00035275,0.00035275
24,735.997,1.20242,0.91146,1.29041,0.90119,0.82885,0.90943,0.53118,0.9639,0.53457,1.10838,0.000340375,0.000340375,0.000340375
25,766.725,1.19086,0.88809,1.28578,0.82052,0.80276,0.88353,0.50666,0.96557,0.56808,1.10892,0.000328,0.000328,0.000328
